Item,Category,Quarter,FinancialYear,Value,Period Type
Others (KAPL),Revenue,Q4,2024-25,0,Quarter
Total Revenue,,Q4,2024-25,8754.46,Quarter
Operating Revenue per MMT,,Q4,2024-25,523.65,Quarter
Operating Revenue per MMT Market,,Q4,2024-25,558.16,Quarter
Port Operating Expenses,Operating Expenses,Q4,2024-25,1120.13,Quarter
Dredging Expenses,Operating Expenses,Q4,2024-25,120.45,Quarter
SRCPL Expenses,Operating Expenses,Q4,2024-25,7.32,Quarter
Logistic including AALL Operating Expenses,Operating Expenses,Q4,2024-25,774.06,Quarter
International Operations Expenses,Operating Expenses,Q4,2024-25,506.1,Quarter
Port Development and SEZ,Operating Expenses,Q4,2024-25,55.23,Quarter
Others (KAPL),Operating Expenses,Q4,2024-25,0,Quarter
Total Operating Expenses,,Q4,2024-25,530.17,Quarter
Operating Expenses per MMT,,Q4,2024-25,100.12,Quarter
Port Employee Costs,Employee Costs,Q4,2024-25,167.52,Quarter
Logistic including AALL,Employee Costs,Q4,2024-25,21.55,Quarter
International Operations,Employee Costs,Q4,2024-25,341.1,Quarter
Others (KAPL),Employee Costs,Q4,2024-25,0,Quarter
Total Employee Costs,,Q4,2024-25,530.17,Quarter
Port Admin Expenses,Admin Expenses ,Q4,2024-25,388.85,Quarter
Logistic including AALL,Admin Expenses ,Q4,2024-25,53.08,Quarter
International Operations,Admin Expenses ,Q4,2024-25,189.55,Quarter
Port Development and SEZ,Admin Expenses ,Q4,2024-25,0,Quarter
Others (KAPL),Admin Expenses ,Q4,2024-25,0,Quarter
One Time ,Admin Expenses ,Q4,2024-25,0,Quarter
Total Admin Expenses,,Q4,2024-25,631.48,Quarter
Total  EBIDTA ,,Q4,2024-25,5009.52,Quarter
EBITDA %,,Q4,2024-25,0.57,Quarter
Port EBITDA,,Q4,2024-25,4440.37,Quarter
Margin %,,Q4,2024-25,0.71,Quarter
Domestic Ports EBITDA per MMT,,Q4,2024-25,396.89,Quarter
Other Income,Income,Q4,2024-25,119.31,Quarter
Finance Cost (Net),,Q4,2024-25,355.29,Quarter
Foreign Exch (Gain)/Loss ,,Q4,2024-25,200.8,Quarter
Depreciation,,Q4,2024-25,1181.68,Quarter
PBT Before Exceptional & Share of JV,,Q4,2024-25,3391.06,Quarter
Share from JV and associates ,,Q4,2024-25,144.67,Quarter
Profit Before Tax,,Q4,2024-25,3535.73,Quarter
Exceptional Item ,,Q4,2024-25,-24.41,Quarter
Profit Before Tax,,Q4,2024-25,3511.32,Quarter
Current Tax ,,Q4,2024-25,707.23,Quarter
Deferred tax ,,Q4,2024-25,-180.32,Quarter
Reversal of MAT Credit -adoption of new tax regime,,Q4,2024-25,0,Quarter
Total Tax ,,Q4,2024-25,526.91,Quarter
Profit for the year ,,Q4,2024-25,2984.41,Quarter
Port EBITDA Breakup,EBITDA Break Up,Q4,2024-25,4440.37,Quarter
Logistics,EBITDA Break Up,Q4,2024-25,180.82,Quarter
International Operations,EBITDA Break Up,Q4,2024-25,300.39,Quarter
Port Development and SEZ,EBITDA Break Up,Q4,2024-25,87.94,Quarter
Others (KAPL),EBITDA Break Up,Q4,2024-25,0,Quarter
One time  ,EBITDA Break Up,Q4,2024-25,0,Quarter
Total EBIDTA without forex ,EBITDA Break Up,Q4,2024-25,5009.52,Quarter
Total EBIDTA  & One time ,EBITDA Break Up,Q4,2024-25,5009.52,Quarter
Port EBITDA Margin Breakup,EBITDA Margin Breakup,Q4,2024-25,0.71,Quarter
Logistics,EBITDA Margin Breakup,Q4,2024-25,0.18,Quarter
International Operations,EBITDA Margin Breakup,Q4,2024-25,0.22,Quarter
Port Development and SEZ,EBITDA Margin Breakup,Q4,2024-25,0.61,Quarter
Others (KAPL),EBITDA Margin Breakup,Q4,2024-25,0,Quarter
